"race";"opioid_type";"abbrev";"Test #";"Null Hypothesis";"Alt Hypothesis";"Selected Hypothesis";"Numerator DF";"Denominator DF";"# of Permutations";"P-Value";"Significance level"
"total";"heroin";"NM";1;0;2;0;   4;  12;10001;       0.1807819;       0.0166667
"total";"heroin";"NM";2;0;1;0;   2;  14;10001;       0.0895910;       0.0166667
"total";"heroin";"NY";0;0;3;0;   6;  10;10001;       0.0760924;       0.0166667
"total";"heroin";"NY";1;0;2;0;   4;  12;10001;       0.2298770;       0.0166667
"total";"heroin";"NY";2;0;1;0;   2;  14;10001;       0.3343666;       0.0166667
"total";"heroin";"NC";0;0;3;3;   6;  10;10001;       0.0001000;       0.0166667
"total";"heroin";"NC";1;1;3;1;   4;  10;10001;       0.9634037;       0.0250000
"total";"heroin";"NC";2;1;2;1;   2;  12;10001;       0.9696030;       0.0250000
"total";"heroin";"ND";0;0;3;3;   6;  10;10001;       0.0073993;       0.0166667
"total";"heroin";"ND";1;1;3;1;   4;  10;10001;       0.1441856;       0.0250000
"total";"heroin";"ND";2;1;2;1;   2;  12;10001;       0.0892911;       0.0250000
"total";"heroin";"OH";0;0;3;3;   6;  10;10001;       0.0008999;       0.0166667
"total";"heroin";"OH";1;1;3;3;   4;  10;10001;       0.0023998;       0.0250000
"total";"heroin";"OH";2;2;3;2;   2;  10;10001;       0.6537346;       0.0500000
"total";"heroin";"OK";0;0;3;0;   6;  10;10001;       0.0285971;       0.0166667
"total";"heroin";"OK";1;0;2;2;   4;  12;10001;       0.0097990;       0.0166667
"total";"heroin";"OK";2;1;2;1;   2;  12;10001;       0.7944206;       0.0250000
"total";"heroin";"OR";0;0;3;0;   6;  10;10001;       0.0203980;       0.0166667
"total";"heroin";"OR";1;0;2;2;   4;  12;10001;       0.0128987;       0.0166667
"total";"heroin";"OR";2;1;2;2;   2;  12;10001;       0.0193981;       0.0250000
"total";"heroin";"PA";0;0;3;3;   6;  10;10001;       0.0001000;       0.0166667
"total";"heroin";"PA";1;1;3;1;   4;  10;10001;       0.4199580;       0.0250000
"total";"heroin";"PA";2;1;2;1;   2;  12;10001;       0.2354765;       0.0250000
"total";"heroin";"RI";0;0;3;3;   6;  10;10001;       0.0005999;       0.0166667
"total";"heroin";"RI";1;1;3;3;   4;  10;10001;       0.0015998;       0.0250000
"total";"heroin";"RI";2;2;3;2;   2;  10;10001;       0.2285771;       0.0500000
"total";"heroin";"SC";0;0;3;3;   6;  10;10001;       0.0047995;       0.0166667
"total";"heroin";"SC";1;1;3;1;   4;  10;10001;       0.2861714;       0.0250000
"total";"heroin";"SC";2;1;2;1;   2;  12;10001;       0.3566643;       0.0250000
"total";"heroin";"SD";0;0;3;3;   6;  10;10001;       0.0004000;       0.0166667
"total";"heroin";"SD";1;1;3;1;   4;  10;10001;       0.0785921;       0.0250000
"total";"heroin";"SD";2;1;2;1;   2;  12;10001;       0.0331967;       0.0250000
"total";"heroin";"TN";0;0;3;3;   6;  10;10001;       0.0003000;       0.0166667
"total";"heroin";"TN";1;1;3;3;   4;  10;10001;       0.0249975;       0.0250000
"total";"heroin";"TN";2;2;3;3;   2;  10;10001;       0.0196980;       0.0500000
"total";"heroin";"TX";0;0;3;0;   6;  10;10001;       0.1661834;       0.0166667
"total";"heroin";"TX";1;0;2;0;   4;  12;10001;       0.0738926;       0.0166667
"total";"heroin";"TX";2;0;1;0;   2;  14;10001;       0.3802620;       0.0166667
"total";"heroin";"UT";0;0;3;3;   6;  10;10001;       0.0015998;       0.0166667
"total";"heroin";"UT";1;1;3;1;   4;  10;10001;       0.3156684;       0.0250000
"total";"heroin";"UT";2;1;2;1;   2;  12;10001;       0.3533647;       0.0250000
"total";"heroin";"VT";0;0;3;3;   6;  10;10001;       0.0001000;       0.0166667
"total";"heroin";"VT";1;1;3;1;   4;  10;10001;       0.3594641;       0.0250000
"total";"heroin";"VT";2;1;2;1;   2;  12;10001;       0.4522548;       0.0250000
"total";"heroin";"VA";0;0;3;3;   6;  10;10001;       0.0001000;       0.0166667
"total";"heroin";"VA";1;1;3;1;   4;  10;10001;       0.8088191;       0.0250000
"total";"heroin";"VA";2;1;2;1;   2;  12;10001;       0.6416358;       0.0250000
"total";"heroin";"WA";0;0;3;3;   6;  10;10001;       0.0009999;       0.0166667
"total";"heroin";"WA";1;1;3;3;   4;  10;10001;       0.0173983;       0.0250000
"total";"heroin";"WA";2;2;3;2;   2;  10;10001;       0.9626037;       0.0500000
"total";"heroin";"WV";0;0;3;0;   6;  10;10001;       0.0805919;       0.0166667
"total";"heroin";"WV";1;0;2;0;   4;  12;10001;       0.0962904;       0.0166667
"total";"heroin";"WV";2;0;1;0;   2;  14;10001;       0.5844416;       0.0166667
"total";"heroin";"WI";0;0;3;3;   6;  10;10001;       0.0014999;       0.0166667
"total";"heroin";"WI";1;1;3;1;   4;  10;10001;       0.0371963;       0.0250000
"total";"heroin";"WI";2;1;2;2;   2;  12;10001;       0.0085991;       0.0250000
"total";"heroin";"WY";0;0;3;0;   6;  10;10001;       0.0307969;       0.0166667
"total";"heroin";"WY";1;0;2;0;   4;  12;10001;       0.0253975;       0.0166667
"total";"heroin";"WY";2;0;1;0;   2;  14;10001;       0.0331967;       0.0166667
"total";"heroin";"US";0;0;3;3;   6;  10;10001;       0.0001000;       0.0166667
"total";"heroin";"US";1;1;3;3;   4;  10;10001;       0.0015998;       0.0250000
"total";"heroin";"US";2;2;3;3;   2;  10;10001;       0.0058994;       0.0500000
"total";"natural_opioid";"AL";0;0;3;3;   6;  10;10001;       0.0034997;       0.0166667
"total";"natural_opioid";"AL";1;1;3;1;   4;  10;10001;       0.0892911;       0.0250000
"total";"natural_opioid";"AL";2;1;2;1;   2;  12;10001;       0.1844816;       0.0250000
"total";"natural_opioid";"AK";0;0;3;0;   6;  10;10001;       0.0171983;       0.0166667
"total";"natural_opioid";"AK";1;0;2;2;   4;  12;10001;       0.0064994;       0.0166667
"total";"natural_opioid";"AK";2;1;2;2;   2;  12;10001;       0.0026997;       0.0250000
"total";"natural_opioid";"AZ";0;0;3;3;   6;  10;10001;       0.0001000;       0.0166667
"total";"natural_opioid";"AZ";1;1;3;1;   4;  10;10001;       0.1363864;       0.0250000
"total";"natural_opioid";"AZ";2;1;2;1;   2;  12;10001;       0.0655934;       0.0250000
"total";"natural_opioid";"AR";0;0;3;3;   6;  10;10001;       0.0001000;       0.0166667
"total";"natural_opioid";"AR";1;1;3;3;   4;  10;10001;       0.0063994;       0.0250000
"total";"natural_opioid";"AR";2;2;3;2;   2;  10;10001;       0.7645235;       0.0500000
"total";"natural_opioid";"CA";0;0;3;0;   6;  10;10001;       0.3504650;       0.0166667
"total";"natural_opioid";"CA";1;0;2;0;   4;  12;10001;       0.2012799;       0.0166667
"total";"natural_opioid";"CA";2;0;1;0;   2;  14;10001;       0.3448655;       0.0166667
"total";"natural_opioid";"CO";0;0;3;0;   6;  10;10001;       0.0629937;       0.0166667
"total";"natural_opioid";"CO";1;0;2;0;   4;  12;10001;       0.0936906;       0.0166667
"total";"natural_opioid";"CO";2;0;1;0;   2;  14;10001;       0.0550945;       0.0166667
"total";"natural_opioid";"CT";0;0;3;3;   6;  10;10001;       0.0143986;       0.0166667
"total";"natural_opioid";"CT";1;1;3;1;   4;  10;10001;       0.0617938;       0.0250000
"total";"natural_opioid";"CT";2;1;2;1;   2;  12;10001;       0.0823918;       0.0250000
"total";"natural_opioid";"DE";0;0;3;3;   6;  10;10001;       0.0017998;       0.0166667
"total";"natural_opioid";"DE";1;1;3;1;   4;  10;10001;       0.0418958;       0.0250000
"total";"natural_opioid";"DE";2;1;2;1;   2;  12;10001;       0.1226877;       0.0250000
"total";"natural_opioid";"DC";0;0;3;0;   6;  10;10001;       0.0323968;       0.0166667
"total";"natural_opioid";"DC";1;0;2;0;   4;  12;10001;       0.0188981;       0.0166667
"total";"natural_opioid";"DC";2;0;1;0;   2;  14;10001;       0.0166983;       0.0166667
"total";"natural_opioid";"FL";0;0;3;3;   6;  10;10001;       0.0002000;       0.0166667
"total";"natural_opioid";"FL";1;1;3;3;   4;  10;10001;       0.0017998;       0.0250000
"total";"natural_opioid";"FL";2;2;3;2;   2;  10;10001;       0.0913909;       0.0500000
"total";"natural_opioid";"GA";0;0;3;3;   6;  10;10001;       0.0092991;       0.0166667
"total";"natural_opioid";"GA";1;1;3;3;   4;  10;10001;       0.0179982;       0.0250000
"total";"natural_opioid";"GA";2;2;3;3;   2;  10;10001;       0.0221978;       0.0500000
"total";"natural_opioid";"HI";0;0;3;0;   6;  10;10001;       0.1854815;       0.0166667
"total";"natural_opioid";"HI";1;0;2;0;   4;  12;10001;       0.1216878;       0.0166667
"total";"natural_opioid";"HI";2;0;1;0;   2;  14;10001;       0.0395960;       0.0166667
"total";"natural_opioid";"ID";0;0;3;0;   6;  10;10001;       0.1158884;       0.0166667
"total";"natural_opioid";"ID";1;0;2;0;   4;  12;10001;       0.1134887;       0.0166667
"total";"natural_opioid";"ID";2;0;1;0;   2;  14;10001;       0.0813919;       0.0166667
"total";"natural_opioid";"IL";0;0;3;3;   6;  10;10001;       0.0028997;       0.0166667
"total";"natural_opioid";"IL";1;1;3;3;   4;  10;10001;       0.0016998;       0.0250000
"total";"natural_opioid";"IL";2;2;3;2;   2;  10;10001;       0.1355864;       0.0500000
"total";"natural_opioid";"IN";0;0;3;3;   6;  10;10001;       0.0025997;       0.0166667
"total";"natural_opioid";"IN";1;1;3;1;   4;  10;10001;       0.0714929;       0.0250000
"total";"natural_opioid";"IN";2;1;2;2;   2;  12;10001;       0.0207979;       0.0250000
"total";"natural_opioid";"IA";0;0;3;3;   6;  10;10001;       0.0001000;       0.0166667
"total";"natural_opioid";"IA";1;1;3;1;   4;  10;10001;       0.1531847;       0.0250000
"total";"natural_opioid";"IA";2;1;2;1;   2;  12;10001;       0.0717928;       0.0250000
"total";"natural_opioid";"KS";0;0;3;3;   6;  10;10001;       0.0019998;       0.0166667
"total";"natural_opioid";"KS";1;1;3;1;   4;  10;10001;       0.0552945;       0.0250000
"total";"natural_opioid";"KS";2;1;2;1;   2;  12;10001;       0.3123688;       0.0250000
"total";"natural_opioid";"KY";0;0;3;3;   6;  10;10001;       0.0001000;       0.0166667
"total";"natural_opioid";"KY";1;1;3;1;   4;  10;10001;       0.0596940;       0.0250000
"total";"natural_opioid";"KY";2;1;2;1;   2;  12;10001;       0.0493951;       0.0250000
"total";"natural_opioid";"LA";0;0;3;3;   6;  10;10001;       0.0048995;       0.0166667
"total";"natural_opioid";"LA";1;1;3;1;   4;  10;10001;       0.0492951;       0.0250000
"total";"natural_opioid";"LA";2;1;2;1;   2;  12;10001;       0.4139586;       0.0250000
"total";"natural_opioid";"ME";0;0;3;3;   6;  10;10001;       0.0116988;       0.0166667
"total";"natural_opioid";"ME";1;1;3;3;   4;  10;10001;       0.0115988;       0.0250000
"total";"natural_opioid";"ME";2;2;3;2;   2;  10;10001;       0.1514849;       0.0500000
"total";"natural_opioid";"MD";0;0;3;3;   6;  10;10001;       0.0100990;       0.0166667
"total";"natural_opioid";"MD";1;1;3;1;   4;  10;10001;       0.0680932;       0.0250000
"total";"natural_opioid";"MD";2;1;2;1;   2;  12;10001;       0.0338966;       0.0250000
"total";"natural_opioid";"MA";0;0;3;3;   6;  10;10001;       0.0117988;       0.0166667
"total";"natural_opioid";"MA";1;1;3;1;   4;  10;10001;       0.1343866;       0.0250000
"total";"natural_opioid";"MA";2;1;2;1;   2;  12;10001;       0.1882812;       0.0250000
"total";"natural_opioid";"MI";0;0;3;3;   6;  10;10001;       0.0001000;       0.0166667
"total";"natural_opioid";"MI";1;1;3;3;   4;  10;10001;       0.0007999;       0.0250000
"total";"natural_opioid";"MI";2;2;3;2;   2;  10;10001;       0.8555144;       0.0500000
"total";"natural_opioid";"MN";0;0;3;3;   6;  10;10001;       0.0139986;       0.0166667
"total";"natural_opioid";"MN";1;1;3;1;   4;  10;10001;       0.2204780;       0.0250000
"total";"natural_opioid";"MN";2;1;2;1;   2;  12;10001;       0.2546745;       0.0250000
"total";"natural_opioid";"MS";0;0;3;3;   6;  10;10001;       0.0131987;       0.0166667
"total";"natural_opioid";"MS";1;1;3;1;   4;  10;10001;       0.0695930;       0.0250000
"total";"natural_opioid";"MS";2;1;2;1;   2;  12;10001;       0.0877912;       0.0250000
"total";"natural_opioid";"MO";0;0;3;3;   6;  10;10001;       0.0001000;       0.0166667
"total";"natural_opioid";"MO";1;1;3;1;   4;  10;10001;       0.0803920;       0.0250000
"total";"natural_opioid";"MO";2;1;2;2;   2;  12;10001;       0.0224978;       0.0250000
"total";"natural_opioid";"MT";0;0;3;3;   6;  10;10001;       0.0119988;       0.0166667
"total";"natural_opioid";"MT";1;1;3;1;   4;  10;10001;       0.4346565;       0.0250000
"total";"natural_opioid";"MT";2;1;2;1;   2;  12;10001;       0.2976702;       0.0250000
"total";"natural_opioid";"NE";0;0;3;0;   6;  10;10001;       0.0756924;       0.0166667
"total";"natural_opioid";"NE";1;0;2;0;   4;  12;10001;       0.0313969;       0.0166667
"total";"natural_opioid";"NE";2;0;1;0;   2;  14;10001;       0.0335966;       0.0166667
"total";"natural_opioid";"NV";0;0;3;3;   6;  10;10001;       0.0002000;       0.0166667
"total";"natural_opioid";"NV";1;1;3;1;   4;  10;10001;       0.0967903;       0.0250000
"total";"natural_opioid";"NV";2;1;2;1;   2;  12;10001;       0.0650935;       0.0250000
"total";"natural_opioid";"NH";0;0;3;0;   6;  10;10001;       0.0355964;       0.0166667
"total";"natural_opioid";"NH";1;0;2;0;   4;  12;10001;       0.0186981;       0.0166667
"total";"natural_opioid";"NH";2;0;1;1;   2;  14;10001;       0.0059994;       0.0166667
"total";"natural_opioid";"NJ";0;0;3;0;   6;  10;10001;       0.9036096;       0.0166667
"total";"natural_opioid";"NJ";1;0;2;0;   4;  12;10001;       0.9186081;       0.0166667
"total";"natural_opioid";"NJ";2;0;1;0;   2;  14;10001;       0.6696330;       0.0166667
"total";"natural_opioid";"NM";0;0;3;0;   6;  10;10001;       0.1243876;       0.0166667
"total";"natural_opioid";"NM";1;0;2;0;   4;  12;10001;       0.6210379;       0.0166667
"total";"natural_opioid";"NM";2;0;1;0;   2;  14;10001;       0.5023498;       0.0166667
"total";"natural_opioid";"NY";0;0;3;3;   6;  10;10001;       0.0001000;       0.0166667
"total";"natural_opioid";"NY";1;1;3;3;   4;  10;10001;       0.0090991;       0.0250000
"total";"natural_opioid";"NY";2;2;3;2;   2;  10;10001;       0.3388661;       0.0500000
"total";"natural_opioid";"NC";0;0;3;3;   6;  10;10001;       0.0016998;       0.0166667
"total";"natural_opioid";"NC";1;1;3;1;   4;  10;10001;       0.0428957;       0.0250000
"total";"natural_opioid";"NC";2;1;2;2;   2;  12;10001;       0.0211979;       0.0250000
"total";"natural_opioid";"ND";0;0;3;0;   6;  10;10001;       0.6948305;       0.0166667
"total";"natural_opioid";"ND";1;0;2;0;   4;  12;10001;       0.7312269;       0.0166667
"total";"natural_opioid";"ND";2;0;1;0;   2;  14;10001;       0.9715028;       0.0166667
"total";"natural_opioid";"OH";0;0;3;0;   6;  10;10001;       0.3341666;       0.0166667
"total";"natural_opioid";"OH";1;0;2;0;   4;  12;10001;       0.2846715;       0.0166667
"total";"natural_opioid";"OH";2;0;1;0;   2;  14;10001;       0.1929807;       0.0166667
"total";"natural_opioid";"OK";0;0;3;3;   6;  10;10001;       0.0001000;       0.0166667
"total";"natural_opioid";"OK";1;1;3;1;   4;  10;10001;       0.1420858;       0.0250000
"total";"natural_opioid";"OK";2;1;2;1;   2;  12;10001;       0.0571943;       0.0250000
"total";"natural_opioid";"OR";0;0;3;3;   6;  10;10001;       0.0063994;       0.0166667
"total";"natural_opioid";"OR";1;1;3;1;   4;  10;10001;       0.2639736;       0.0250000
"total";"natural_opioid";"OR";2;1;2;1;   2;  12;10001;       0.1084892;       0.0250000
"total";"natural_opioid";"PA";0;0;3;0;   6;  10;10001;       0.1183882;       0.0166667
"total";"natural_opioid";"PA";1;0;2;0;   4;  12;10001;       0.1110889;       0.0166667
"total";"natural_opioid";"PA";2;0;1;0;   2;  14;10001;       0.5642436;       0.0166667
"total";"natural_opioid";"RI";0;0;3;0;   6;  10;10001;       0.1813819;       0.0166667
"total";"natural_opioid";"RI";1;0;2;0;   4;  12;10001;       0.2491751;       0.0166667
"total";"natural_opioid";"RI";2;0;1;0;   2;  14;10001;       0.2936706;       0.0166667
"total";"natural_opioid";"SC";0;0;3;0;   6;  10;10001;       0.5801420;       0.0166667
"total";"natural_opioid";"SC";1;0;2;0;   4;  12;10001;       0.4708529;       0.0166667
"total";"natural_opioid";"SC";2;0;1;0;   2;  14;10001;       0.4852515;       0.0166667
"total";"natural_opioid";"SD";0;0;3;0;   6;  10;10001;       0.0296970;       0.0166667
"total";"natural_opioid";"SD";1;0;2;2;   4;  12;10001;       0.0108989;       0.0166667
"total";"natural_opioid";"SD";2;1;2;1;   2;  12;10001;       0.5885411;       0.0250000
"total";"natural_opioid";"TN";0;0;3;3;   6;  10;10001;       0.0004000;       0.0166667
"total";"natural_opioid";"TN";1;1;3;3;   4;  10;10001;       0.0058994;       0.0250000
"total";"natural_opioid";"TN";2;2;3;3;   2;  10;10001;       0.0092991;       0.0500000
"total";"natural_opioid";"TX";0;0;3;3;   6;  10;10001;       0.0001000;       0.0166667
"total";"natural_opioid";"TX";1;1;3;1;   4;  10;10001;       0.1338866;       0.0250000
"total";"natural_opioid";"TX";2;1;2;1;   2;  12;10001;       0.0455954;       0.0250000
"total";"natural_opioid";"UT";0;0;3;3;   6;  10;10001;       0.0061994;       0.0166667
"total";"natural_opioid";"UT";1;1;3;1;   4;  10;10001;       0.1329867;       0.0250000
"total";"natural_opioid";"UT";2;1;2;1;   2;  12;10001;       0.7962204;       0.0250000
"total";"natural_opioid";"VT";0;0;3;0;   6;  10;10001;       0.0720928;       0.0166667
"total";"natural_opioid";"VT";1;0;2;0;   4;  12;10001;       0.0386961;       0.0166667
"total";"natural_opioid";"VT";2;0;1;0;   2;  14;10001;       0.0184982;       0.0166667
"total";"natural_opioid";"VA";0;0;3;0;   6;  10;10001;       0.8587141;       0.0166667
"total";"natural_opioid";"VA";1;0;2;0;   4;  12;10001;       0.8118188;       0.0166667
"total";"natural_opioid";"VA";2;0;1;0;   2;  14;10001;       0.4796520;       0.0166667
"total";"natural_opioid";"WA";0;0;3;3;   6;  10;10001;       0.0001000;       0.0166667
"total";"natural_opioid";"WA";1;1;3;1;   4;  10;10001;       0.2980702;       0.0250000
"total";"natural_opioid";"WA";2;1;2;1;   2;  12;10001;       0.1364864;       0.0250000
"total";"natural_opioid";"WV";0;0;3;0;   6;  10;10001;       0.0346965;       0.0166667
"total";"natural_opioid";"WV";1;0;2;0;   4;  12;10001;       0.0272973;       0.0166667
"total";"natural_opioid";"WV";2;0;1;1;   2;  14;10001;       0.0112989;       0.0166667
"total";"natural_opioid";"WI";0;0;3;3;   6;  10;10001;       0.0042996;       0.0166667
"total";"natural_opioid";"WI";1;1;3;1;   4;  10;10001;       0.5538446;       0.0250000
"total";"natural_opioid";"WI";2;1;2;1;   2;  12;10001;       0.2987701;       0.0250000
"total";"natural_opioid";"WY";0;0;3;0;   6;  10;10001;       0.0291971;       0.0166667
"total";"natural_opioid";"WY";1;0;2;0;   4;  12;10001;       0.0360964;       0.0166667
"total";"natural_opioid";"WY";2;0;1;0;   2;  14;10001;       0.0298970;       0.0166667
"total";"natural_opioid";"US";0;0;3;3;   6;  10;10001;       0.0001000;       0.0166667
