year,st_fips,opioid_type,remove_obs,name,abbrev
2001,04,opioid,0,Arizona,AZ
2001,05,opioid,0,Arkansas,AR
2001,06,opioid,0,California,CA
2001,08,opioid,0,Colorado,CO
2001,09,opioid,0,Connecticut,CT
2001,10,opioid,0,Delaware,DE
2001,11,opioid,0,District of Columbia,DC
2001,12,opioid,0,Florida,FL
2001,13,opioid,0,Georgia,GA
2001,15,opioid,0,Hawaii,HI
2001,16,opioid,0,Idaho,ID
2001,17,opioid,0,Illinois,IL
2001,18,opioid,0,Indiana,IN
2001,19,opioid,0,Iowa,IA
2001,20,opioid,0,Kansas,KS
2001,21,opioid,0,Kentucky,KY
2001,22,opioid,0,Louisiana,LA
2001,23,opioid,0,Maine,ME
2001,24,opioid,0,Maryland,MD
2001,25,opioid,0,Massachusetts,MA
2001,26,opioid,0,Michigan,MI
2001,27,opioid,0,Minnesota,MN
2001,28,opioid,0,Mississippi,MS
2001,29,opioid,0,Missouri,MO
2001,30,opioid,0,Montana,MT
2001,31,opioid,0,Nebraska,NE
2001,32,opioid,0,Nevada,NV
2001,33,opioid,0,New Hampshire,NH
2001,34,opioid,0,New Jersey,NJ
2001,35,opioid,0,New Mexico,NM
2001,36,opioid,0,New York,NY
2001,37,opioid,0,North Carolina,NC
2001,38,opioid,1,North Dakota,ND
2001,39,opioid,0,Ohio,OH
2001,40,opioid,0,Oklahoma,OK
2001,41,opioid,0,Oregon,OR
2001,42,opioid,0,Pennsylvania,PA
2001,44,opioid,0,Rhode Island,RI
2001,45,opioid,0,South Carolina,SC
2001,46,opioid,1,South Dakota,SD
2001,47,opioid,0,Tennessee,TN
2001,48,opioid,0,Texas,TX
2001,49,opioid,0,Utah,UT
2001,50,opioid,0,Vermont,VT
2001,51,opioid,0,Virginia,VA
2001,53,opioid,0,Washington,WA
2001,54,opioid,0,West Virginia,WV
2001,55,opioid,0,Wisconsin,WI
2001,56,opioid,1,Wyoming,WY
2002,01,opioid,0,Alabama,AL
2002,02,opioid,1,Alaska,AK
2002,04,opioid,0,Arizona,AZ
2002,05,opioid,0,Arkansas,AR
2002,06,opioid,0,California,CA
2002,08,opioid,0,Colorado,CO
2002,09,opioid,0,Connecticut,CT
2002,10,opioid,0,Delaware,DE
2002,11,opioid,0,District of Columbia,DC
2002,12,opioid,0,Florida,FL
2002,13,opioid,0,Georgia,GA
2002,15,opioid,0,Hawaii,HI
2002,16,opioid,0,Idaho,ID
2002,17,opioid,0,Illinois,IL
2002,18,opioid,0,Indiana,IN
2002,19,opioid,0,Iowa,IA
2002,20,opioid,0,Kansas,KS
2002,21,opioid,0,Kentucky,KY
2002,22,opioid,0,Louisiana,LA
2002,23,opioid,0,Maine,ME
2002,24,opioid,0,Maryland,MD
2002,25,opioid,0,Massachusetts,MA
2002,26,opioid,0,Michigan,MI
2002,27,opioid,0,Minnesota,MN
2002,28,opioid,0,Mississippi,MS
2002,29,opioid,0,Missouri,MO
2002,30,opioid,0,Montana,MT
2002,31,opioid,0,Nebraska,NE
2002,32,opioid,0,Nevada,NV
2002,33,opioid,0,New Hampshire,NH
2002,34,opioid,0,New Jersey,NJ
2002,35,opioid,0,New Mexico,NM
2002,36,opioid,0,New York,NY
2002,37,opioid,0,North Carolina,NC
2002,38,opioid,0,North Dakota,ND
2002,39,opioid,0,Ohio,OH
2002,40,opioid,0,Oklahoma,OK
2002,41,opioid,0,Oregon,OR
2002,42,opioid,0,Pennsylvania,PA
2002,44,opioid,0,Rhode Island,RI
2002,45,opioid,0,South Carolina,SC
2002,46,opioid,0,South Dakota,SD
2002,47,opioid,0,Tennessee,TN
2002,48,opioid,0,Texas,TX
2002,49,opioid,0,Utah,UT
2002,50,opioid,0,Vermont,VT
2002,51,opioid,0,Virginia,VA
2002,53,opioid,0,Washington,WA
2002,54,opioid,0,West Virginia,WV
2002,55,opioid,0,Wisconsin,WI
2002,56,opioid,0,Wyoming,WY
2003,01,opioid,0,Alabama,AL
2003,02,opioid,0,Alaska,AK
2003,04,opioid,0,Arizona,AZ
2003,05,opioid,0,Arkansas,AR
2003,06,opioid,0,California,CA
2003,08,opioid,0,Colorado,CO
2003,09,opioid,0,Connecticut,CT
2003,10,opioid,0,Delaware,DE
2003,11,opioid,0,District of Columbia,DC
2003,12,opioid,0,Florida,FL
2003,13,opioid,0,Georgia,GA
2003,15,opioid,0,Hawaii,HI
2003,16,opioid,0,Idaho,ID
2003,17,opioid,0,Illinois,IL
2003,18,opioid,0,Indiana,IN
2003,19,opioid,0,Iowa,IA
2003,20,opioid,0,Kansas,KS
2003,21,opioid,0,Kentucky,KY
2003,22,opioid,0,Louisiana,LA
2003,23,opioid,0,Maine,ME
2003,24,opioid,0,Maryland,MD
2003,25,opioid,0,Massachusetts,MA
2003,26,opioid,0,Michigan,MI
2003,27,opioid,0,Minnesota,MN
2003,28,opioid,0,Mississippi,MS
2003,29,opioid,0,Missouri,MO
2003,30,opioid,0,Montana,MT
2003,31,opioid,0,Nebraska,NE
2003,32,opioid,0,Nevada,NV
2003,33,opioid,0,New Hampshire,NH
2003,34,opioid,0,New Jersey,NJ
2003,35,opioid,0,New Mexico,NM
2003,36,opioid,0,New York,NY
2003,37,opioid,0,North Carolina,NC
2003,38,opioid,1,North Dakota,ND
2003,39,opioid,0,Ohio,OH
2003,40,opioid,0,Oklahoma,OK
2003,41,opioid,0,Oregon,OR
2003,42,opioid,0,Pennsylvania,PA
2003,44,opioid,0,Rhode Island,RI
2003,45,opioid,0,South Carolina,SC
2003,46,opioid,1,South Dakota,SD
2003,47,opioid,0,Tennessee,TN
2003,48,opioid,0,Texas,TX
2003,49,opioid,0,Utah,UT
2003,50,opioid,0,Vermont,VT
2003,51,opioid,0,Virginia,VA
2003,53,opioid,0,Washington,WA
2003,54,opioid,0,West Virginia,WV
2003,55,opioid,0,Wisconsin,WI
2003,56,opioid,1,Wyoming,WY
2004,01,opioid,0,Alabama,AL
2004,02,opioid,0,Alaska,AK
2004,04,opioid,0,Arizona,AZ
2004,05,opioid,0,Arkansas,AR
2004,06,opioid,0,California,CA
2004,08,opioid,0,Colorado,CO
2004,09,opioid,0,Connecticut,CT
2004,10,opioid,0,Delaware,DE
2004,11,opioid,0,District of Columbia,DC
2004,12,opioid,0,Florida,FL
2004,13,opioid,0,Georgia,GA
2004,15,opioid,0,Hawaii,HI
2004,16,opioid,0,Idaho,ID
2004,17,opioid,0,Illinois,IL
2004,18,opioid,0,Indiana,IN
2004,19,opioid,0,Iowa,IA
2004,20,opioid,0,Kansas,KS
2004,21,opioid,0,Kentucky,KY
2004,22,opioid,0,Louisiana,LA
2004,23,opioid,0,Maine,ME
2004,24,opioid,0,Maryland,MD
2004,25,opioid,0,Massachusetts,MA
2004,26,opioid,0,Michigan,MI
2004,27,opioid,0,Minnesota,MN
2004,28,opioid,0,Mississippi,MS
2004,29,opioid,0,Missouri,MO
2004,30,opioid,0,Montana,MT
2004,31,opioid,0,Nebraska,NE
2004,32,opioid,0,Nevada,NV
2004,33,opioid,0,New Hampshire,NH
2004,34,opioid,0,New Jersey,NJ
2004,35,opioid,0,New Mexico,NM
2004,36,opioid,0,New York,NY
2004,37,opioid,0,North Carolina,NC
2004,38,opioid,0,North Dakota,ND
2004,39,opioid,0,Ohio,OH
2004,40,opioid,0,Oklahoma,OK
2004,41,opioid,0,Oregon,OR
2004,42,opioid,0,Pennsylvania,PA
2004,44,opioid,0,Rhode Island,RI
2004,45,opioid,0,South Carolina,SC
2004,46,opioid,0,South Dakota,SD
2004,47,opioid,0,Tennessee,TN
2004,48,opioid,0,Texas,TX
2004,49,opioid,0,Utah,UT
2004,50,opioid,0,Vermont,VT
2004,51,opioid,0,Virginia,VA
2004,53,opioid,0,Washington,WA
2004,54,opioid,0,West Virginia,WV
2004,55,opioid,0,Wisconsin,WI
2004,56,opioid,0,Wyoming,WY
2005,01,opioid,0,Alabama,AL
2005,02,opioid,0,Alaska,AK
2005,04,opioid,0,Arizona,AZ
2005,05,opioid,0,Arkansas,AR
2005,06,opioid,0,California,CA
2005,08,opioid,0,Colorado,CO
2005,09,opioid,0,Connecticut,CT
2005,10,opioid,0,Delaware,DE
2005,11,opioid,0,District of Columbia,DC
2005,12,opioid,0,Florida,FL
2005,13,opioid,0,Georgia,GA
2005,15,opioid,0,Hawaii,HI
2005,16,opioid,0,Idaho,ID
2005,17,opioid,0,Illinois,IL
2005,18,opioid,0,Indiana,IN
2005,19,opioid,0,Iowa,IA
2005,20,opioid,0,Kansas,KS
2005,21,opioid,0,Kentucky,KY
2005,22,opioid,0,Louisiana,LA
2005,23,opioid,0,Maine,ME
2005,24,opioid,0,Maryland,MD
2005,25,opioid,0,Massachusetts,MA
2005,26,opioid,0,Michigan,MI
2005,27,opioid,0,Minnesota,MN
2005,28,opioid,0,Mississippi,MS
2005,29,opioid,0,Missouri,MO
2005,30,opioid,0,Montana,MT
2005,31,opioid,0,Nebraska,NE
2005,32,opioid,0,Nevada,NV
2005,33,opioid,0,New Hampshire,NH
2005,34,opioid,0,New Jersey,NJ
2005,35,opioid,0,New Mexico,NM
2005,36,opioid,0,New York,NY
2005,37,opioid,0,North Carolina,NC
2005,38,opioid,1,North Dakota,ND
2005,39,opioid,0,Ohio,OH
2005,40,opioid,0,Oklahoma,OK
2005,41,opioid,0,Oregon,OR
2005,42,opioid,0,Pennsylvania,PA
2005,44,opioid,0,Rhode Island,RI
2005,45,opioid,0,South Carolina,SC
2005,46,opioid,0,South Dakota,SD
2005,47,opioid,0,Tennessee,TN
2005,48,opioid,0,Texas,TX
2005,49,opioid,0,Utah,UT
2005,50,opioid,0,Vermont,VT
2005,51,opioid,0,Virginia,VA
2005,53,opioid,0,Washington,WA
2005,54,opioid,0,West Virginia,WV
2005,55,opioid,0,Wisconsin,WI
2005,56,opioid,0,Wyoming,WY
2006,01,opioid,0,Alabama,AL
2006,02,opioid,0,Alaska,AK
2006,04,opioid,0,Arizona,AZ
2006,05,opioid,0,Arkansas,AR
2006,06,opioid,0,California,CA
2006,08,opioid,0,Colorado,CO
2006,09,opioid,0,Connecticut,CT
2006,10,opioid,0,Delaware,DE
2006,11,opioid,0,District of Columbia,DC
2006,12,opioid,0,Florida,FL
2006,13,opioid,0,Georgia,GA
2006,15,opioid,0,Hawaii,HI
2006,16,opioid,0,Idaho,ID
2006,17,opioid,0,Illinois,IL
2006,18,opioid,0,Indiana,IN
2006,19,opioid,0,Iowa,IA
2006,20,opioid,0,Kansas,KS
2006,21,opioid,0,Kentucky,KY
2006,22,opioid,0,Louisiana,LA
2006,23,opioid,0,Maine,ME
2006,24,opioid,0,Maryland,MD
2006,25,opioid,0,Massachusetts,MA
2006,26,opioid,0,Michigan,MI
2006,27,opioid,0,Minnesota,MN
2006,28,opioid,0,Mississippi,MS
2006,29,opioid,0,Missouri,MO
2006,30,opioid,0,Montana,MT
2006,31,opioid,0,Nebraska,NE
2006,32,opioid,0,Nevada,NV
2006,33,opioid,0,New Hampshire,NH
2006,34,opioid,0,New Jersey,NJ
2006,35,opioid,0,New Mexico,NM
2006,36,opioid,0,New York,NY
2006,37,opioid,0,North Carolina,NC
2006,38,opioid,1,North Dakota,ND
2006,39,opioid,0,Ohio,OH
2006,40,opioid,0,Oklahoma,OK
2006,41,opioid,0,Oregon,OR
2006,42,opioid,0,Pennsylvania,PA
2006,44,opioid,0,Rhode Island,RI
2006,45,opioid,0,South Carolina,SC
2006,46,opioid,0,South Dakota,SD
2006,47,opioid,0,Tennessee,TN
2006,48,opioid,0,Texas,TX
2006,49,opioid,0,Utah,UT
2006,50,opioid,0,Vermont,VT
2006,51,opioid,0,Virginia,VA
2006,53,opioid,0,Washington,WA
2006,54,opioid,0,West Virginia,WV
2006,55,opioid,0,Wisconsin,WI
2006,56,opioid,0,Wyoming,WY
2007,01,opioid,0,Alabama,AL
2007,02,opioid,0,Alaska,AK
2007,04,opioid,0,Arizona,AZ
2007,05,opioid,0,Arkansas,AR
2007,06,opioid,0,California,CA
2007,08,opioid,0,Colorado,CO
2007,09,opioid,0,Connecticut,CT
2007,10,opioid,0,Delaware,DE
2007,11,opioid,0,District of Columbia,DC
2007,12,opioid,0,Florida,FL
2007,13,opioid,0,Georgia,GA
2007,15,opioid,0,Hawaii,HI
2007,16,opioid,0,Idaho,ID
2007,17,opioid,0,Illinois,IL
2007,18,opioid,0,Indiana,IN
2007,19,opioid,0,Iowa,IA
2007,20,opioid,0,Kansas,KS
2007,21,opioid,0,Kentucky,KY
2007,22,opioid,0,Louisiana,LA
2007,23,opioid,0,Maine,ME
2007,24,opioid,0,Maryland,MD
2007,25,opioid,0,Massachusetts,MA
2007,26,opioid,0,Michigan,MI
2007,27,opioid,0,Minnesota,MN
2007,28,opioid,0,Mississippi,MS
2007,29,opioid,0,Missouri,MO
2007,30,opioid,0,Montana,MT
2007,31,opioid,0,Nebraska,NE
2007,32,opioid,0,Nevada,NV
2007,33,opioid,0,New Hampshire,NH
2007,34,opioid,0,New Jersey,NJ
2007,35,opioid,0,New Mexico,NM
2007,36,opioid,0,New York,NY
2007,37,opioid,0,North Carolina,NC
2007,38,opioid,0,North Dakota,ND
2007,39,opioid,0,Ohio,OH
2007,40,opioid,0,Oklahoma,OK
2007,41,opioid,0,Oregon,OR
2007,42,opioid,0,Pennsylvania,PA
2007,44,opioid,0,Rhode Island,RI
2007,45,opioid,0,South Carolina,SC
2007,46,opioid,0,South Dakota,SD
2007,47,opioid,0,Tennessee,TN
2007,48,opioid,0,Texas,TX
2007,49,opioid,0,Utah,UT
2007,50,opioid,0,Vermont,VT
2007,51,opioid,0,Virginia,VA
2007,53,opioid,0,Washington,WA
2007,54,opioid,0,West Virginia,WV
2007,55,opioid,0,Wisconsin,WI
2007,56,opioid,0,Wyoming,WY
2008,01,opioid,0,Alabama,AL
2008,02,opioid,0,Alaska,AK
2008,04,opioid,0,Arizona,AZ
2008,05,opioid,0,Arkansas,AR
2008,06,opioid,0,California,CA
2008,08,opioid,0,Colorado,CO
2008,09,opioid,0,Connecticut,CT
2008,10,opioid,0,Delaware,DE
2008,11,opioid,0,District of Columbia,DC
2008,12,opioid,0,Florida,FL
2008,13,opioid,0,Georgia,GA
2008,15,opioid,0,Hawaii,HI
2008,16,opioid,0,Idaho,ID
2008,17,opioid,0,Illinois,IL
2008,18,opioid,0,Indiana,IN
2008,19,opioid,0,Iowa,IA
2008,20,opioid,0,Kansas,KS
2008,21,opioid,0,Kentucky,KY
2008,22,opioid,0,Louisiana,LA
2008,23,opioid,0,Maine,ME
2008,24,opioid,0,Maryland,MD
2008,25,opioid,0,Massachusetts,MA
2008,26,opioid,0,Michigan,MI
2008,27,opioid,0,Minnesota,MN
2008,28,opioid,0,Mississippi,MS
2008,29,opioid,0,Missouri,MO
2008,30,opioid,0,Montana,MT
2008,31,opioid,0,Nebraska,NE
2008,32,opioid,0,Nevada,NV
2008,33,opioid,0,New Hampshire,NH
2008,34,opioid,0,New Jersey,NJ
2008,35,opioid,0,New Mexico,NM
2008,36,opioid,0,New York,NY
2008,37,opioid,0,North Carolina,NC
2008,38,opioid,0,North Dakota,ND
2008,39,opioid,0,Ohio,OH
2008,40,opioid,0,Oklahoma,OK
2008,41,opioid,0,Oregon,OR
2008,42,opioid,0,Pennsylvania,PA
2008,44,opioid,0,Rhode Island,RI
2008,45,opioid,0,South Carolina,SC
2008,46,opioid,0,South Dakota,SD
2008,47,opioid,0,Tennessee,TN
2008,48,opioid,0,Texas,TX
2008,49,opioid,0,Utah,UT
2008,50,opioid,0,Vermont,VT
2008,51,opioid,0,Virginia,VA
2008,53,opioid,0,Washington,WA
2008,54,opioid,0,West Virginia,WV
2008,55,opioid,0,Wisconsin,WI
2008,56,opioid,0,Wyoming,WY
2009,01,opioid,0,Alabama,AL
2009,02,opioid,0,Alaska,AK
2009,04,opioid,0,Arizona,AZ
2009,05,opioid,0,Arkansas,AR
2009,06,opioid,0,California,CA
2009,08,opioid,0,Colorado,CO
2009,09,opioid,0,Connecticut,CT
2009,10,opioid,0,Delaware,DE
2009,11,opioid,0,District of Columbia,DC
2009,12,opioid,0,Florida,FL
2009,13,opioid,0,Georgia,GA
2009,15,opioid,0,Hawaii,HI
2009,16,opioid,0,Idaho,ID
2009,17,opioid,0,Illinois,IL
2009,18,opioid,0,Indiana,IN
2009,19,opioid,0,Iowa,IA
2009,20,opioid,0,Kansas,KS
2009,21,opioid,0,Kentucky,KY
2009,22,opioid,0,Louisiana,LA
2009,23,opioid,0,Maine,ME
2009,24,opioid,0,Maryland,MD
2009,25,opioid,0,Massachusetts,MA
2009,26,opioid,0,Michigan,MI
2009,27,opioid,0,Minnesota,MN
2009,28,opioid,0,Mississippi,MS
2009,29,opioid,0,Missouri,MO
2009,30,opioid,0,Montana,MT
2009,31,opioid,0,Nebraska,NE
2009,32,opioid,0,Nevada,NV
2009,33,opioid,0,New Hampshire,NH
2009,34,opioid,0,New Jersey,NJ
2009,35,opioid,0,New Mexico,NM
2009,36,opioid,0,New York,NY
2009,37,opioid,0,North Carolina,NC
2009,38,opioid,0,North Dakota,ND
2009,39,opioid,0,Ohio,OH
2009,40,opioid,0,Oklahoma,OK
2009,41,opioid,0,Oregon,OR
2009,42,opioid,0,Pennsylvania,PA
2009,44,opioid,0,Rhode Island,RI
2009,45,opioid,0,South Carolina,SC
2009,46,opioid,0,South Dakota,SD
2009,47,opioid,0,Tennessee,TN
2009,48,opioid,0,Texas,TX
2009,49,opioid,0,Utah,UT
2009,50,opioid,0,Vermont,VT
2009,51,opioid,0,Virginia,VA
2009,53,opioid,0,Washington,WA
2009,54,opioid,0,West Virginia,WV
2009,55,opioid,0,Wisconsin,WI
2009,56,opioid,0,Wyoming,WY
2010,01,opioid,0,Alabama,AL
2010,02,opioid,0,Alaska,AK
2010,04,opioid,0,Arizona,AZ
2010,05,opioid,0,Arkansas,AR
2010,06,opioid,0,California,CA
2010,08,opioid,0,Colorado,CO
2010,09,opioid,0,Connecticut,CT
2010,10,opioid,0,Delaware,DE
2010,11,opioid,0,District of Columbia,DC
2010,12,opioid,0,Florida,FL
2010,13,opioid,0,Georgia,GA
2010,15,opioid,0,Hawaii,HI
2010,16,opioid,0,Idaho,ID
2010,17,opioid,0,Illinois,IL
2010,18,opioid,0,Indiana,IN
2010,19,opioid,0,Iowa,IA
2010,20,opioid,0,Kansas,KS
2010,21,opioid,0,Kentucky,KY
2010,22,opioid,0,Louisiana,LA
2010,23,opioid,0,Maine,ME
2010,24,opioid,0,Maryland,MD
2010,25,opioid,0,Massachusetts,MA
2010,26,opioid,0,Michigan,MI
2010,27,opioid,0,Minnesota,MN
2010,28,opioid,0,Mississippi,MS
2010,29,opioid,0,Missouri,MO
2010,30,opioid,0,Montana,MT
2010,31,opioid,0,Nebraska,NE
2010,32,opioid,0,Nevada,NV
2010,33,opioid,0,New Hampshire,NH
2010,34,opioid,0,New Jersey,NJ
2010,35,opioid,0,New Mexico,NM
2010,36,opioid,0,New York,NY
2010,37,opioid,0,North Carolina,NC
2010,38,opioid,0,North Dakota,ND
2010,39,opioid,0,Ohio,OH
2010,40,opioid,0,Oklahoma,OK
2010,41,opioid,0,Oregon,OR
2010,42,opioid,0,Pennsylvania,PA
2010,44,opioid,0,Rhode Island,RI
2010,45,opioid,0,South Carolina,SC
2010,46,opioid,0,South Dakota,SD
2010,47,opioid,0,Tennessee,TN
2010,48,opioid,0,Texas,TX
2010,49,opioid,0,Utah,UT
2010,50,opioid,0,Vermont,VT
2010,51,opioid,0,Virginia,VA
2010,53,opioid,0,Washington,WA
2010,54,opioid,0,West Virginia,WV
2010,55,opioid,0,Wisconsin,WI
2010,56,opioid,0,Wyoming,WY
2011,01,opioid,0,Alabama,AL
2011,02,opioid,0,Alaska,AK
2011,04,opioid,0,Arizona,AZ
2011,05,opioid,0,Arkansas,AR
2011,06,opioid,0,California,CA
2011,08,opioid,0,Colorado,CO
2011,09,opioid,0,Connecticut,CT
2011,10,opioid,0,Delaware,DE
2011,11,opioid,0,District of Columbia,DC
2011,12,opioid,0,Florida,FL
2011,13,opioid,0,Georgia,GA
2011,15,opioid,0,Hawaii,HI
2011,16,opioid,0,Idaho,ID
2011,17,opioid,0,Illinois,IL
2011,18,opioid,0,Indiana,IN
2011,19,opioid,0,Iowa,IA
2011,20,opioid,0,Kansas,KS
2011,21,opioid,0,Kentucky,KY
2011,22,opioid,0,Louisiana,LA
2011,23,opioid,0,Maine,ME
2011,24,opioid,0,Maryland,MD
2011,25,opioid,0,Massachusetts,MA
2011,26,opioid,0,Michigan,MI
2011,27,opioid,0,Minnesota,MN
2011,28,opioid,0,Mississippi,MS
2011,29,opioid,0,Missouri,MO
2011,30,opioid,0,Montana,MT
2011,31,opioid,0,Nebraska,NE
2011,32,opioid,0,Nevada,NV
2011,33,opioid,0,New Hampshire,NH
2011,34,opioid,0,New Jersey,NJ
2011,35,opioid,0,New Mexico,NM
2011,36,opioid,0,New York,NY
2011,37,opioid,0,North Carolina,NC
2011,38,opioid,0,North Dakota,ND
2011,39,opioid,0,Ohio,OH
2011,40,opioid,0,Oklahoma,OK
2011,41,opioid,0,Oregon,OR
2011,42,opioid,0,Pennsylvania,PA
2011,44,opioid,0,Rhode Island,RI
2011,45,opioid,0,South Carolina,SC
2011,46,opioid,0,South Dakota,SD
2011,47,opioid,0,Tennessee,TN
2011,48,opioid,0,Texas,TX
2011,49,opioid,0,Utah,UT
2011,50,opioid,0,Vermont,VT
2011,51,opioid,0,Virginia,VA
2011,53,opioid,0,Washington,WA
2011,54,opioid,0,West Virginia,WV
2011,55,opioid,0,Wisconsin,WI
2011,56,opioid,0,Wyoming,WY
2012,01,opioid,0,Alabama,AL
2012,02,opioid,0,Alaska,AK
2012,04,opioid,0,Arizona,AZ
2012,05,opioid,0,Arkansas,AR
2012,06,opioid,0,California,CA
2012,08,opioid,0,Colorado,CO
2012,09,opioid,0,Connecticut,CT
2012,10,opioid,0,Delaware,DE
2012,11,opioid,0,District of Columbia,DC
2012,12,opioid,0,Florida,FL
2012,13,opioid,0,Georgia,GA
2012,15,opioid,0,Hawaii,HI
2012,16,opioid,0,Idaho,ID
2012,17,opioid,0,Illinois,IL
2012,18,opioid,0,Indiana,IN
2012,19,opioid,0,Iowa,IA
2012,20,opioid,0,Kansas,KS
2012,21,opioid,0,Kentucky,KY
2012,22,opioid,0,Louisiana,LA
2012,23,opioid,0,Maine,ME
2012,24,opioid,0,Maryland,MD
2012,25,opioid,0,Massachusetts,MA
2012,26,opioid,0,Michigan,MI
2012,27,opioid,0,Minnesota,MN
2012,28,opioid,0,Mississippi,MS
2012,29,opioid,0,Missouri,MO
2012,30,opioid,0,Montana,MT
2012,31,opioid,0,Nebraska,NE
2012,32,opioid,0,Nevada,NV
2012,33,opioid,0,New Hampshire,NH
2012,34,opioid,0,New Jersey,NJ
2012,35,opioid,0,New Mexico,NM
2012,36,opioid,0,New York,NY
2012,37,opioid,0,North Carolina,NC
2012,38,opioid,1,North Dakota,ND
2012,39,opioid,0,Ohio,OH
2012,40,opioid,0,Oklahoma,OK
2012,41,opioid,0,Oregon,OR
2012,42,opioid,0,Pennsylvania,PA
2012,44,opioid,0,Rhode Island,RI
2012,45,opioid,0,South Carolina,SC
2012,46,opioid,0,South Dakota,SD
2012,47,opioid,0,Tennessee,TN
2012,48,opioid,0,Texas,TX
2012,49,opioid,0,Utah,UT
2012,50,opioid,0,Vermont,VT
2012,51,opioid,0,Virginia,VA
2012,53,opioid,0,Washington,WA
2012,54,opioid,0,West Virginia,WV
2012,55,opioid,0,Wisconsin,WI
2012,56,opioid,0,Wyoming,WY
2013,01,opioid,0,Alabama,AL
2013,02,opioid,0,Alaska,AK
2013,04,opioid,0,Arizona,AZ
